adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/qAuAHF32c2bpXiSfTWhZSN2ILne.jpg,[35],346302,it,Mangiala!,"An industrialist tries to find an advertising gimmick for his canned meat product ""Eat it!"". In the fields he finds a savage individual who has reduced himself to two functions only: eating huge amounts of food and making love. So he uses this savage man for his advertising purposes by making the public believe that his meat is an aphrodisiac. Some time later the strange being loses his ""gifts"". The industrialist tries to replace him, but the incredible amounts of meat he eats turns him into a cow! (Digitmovies)",11.5159,/reVVGPY1j9rQl0tEiXsDOkwbBGt.jpg,1968-01-01,Eat It,False,3.3,3
False,/iXU87IdtNsYt7n6OigPJBDdbFf1.jpg,"[10751, 35, 12, 16, 28]",774370,en,Dog Man,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",12.043,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,2025-01-24,Dog Man,False,7.64,307
False,/8veOfB9RbSzFki0Rq3IQIGsFfhC.jpg,"[35, 10749]",615665,en,Holidate,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",11.3689,/oXCLSlCRWWHsSSwLJSVIC0DDWsE.jpg,2020-10-27,Holidate,False,6.986,2285
False,/6Z0FhoZM56YkuXhvklMTpc7rc5u.jpg,"[27, 9648, 53]",423108,en,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",11.3605,/rQfX2xx8TUoNvyk892yKWNikJaM.jpg,2021-05-25,The Conjuring: The Devil Made Me Do It,False,7.379,6334
False,/7eNyLRZi7I6XtAEEyVRuKmPUyjc.jpg,"[14, 10751]",567181,cs,Čertí brko,"The devil's magic quill keeps a tight record of sins. But when this precious artifact is stolen, a demon must find a way to make things right again.",11.3506,/gPPimYLt9xn5BjZCqD7gS6G5NHX.jpg,2018-11-29,The Magic Quill,False,6.348,23
False,/aIhBr3y8lUv7fGBaoTh1btKaEzf.jpg,"[35, 14, 10749]",48256,de,Die Puppe,"The misadventures of an effete young man who must get married in order to inherit a fortune. He opts to purchase a remarkably lifelike doll and marry it instead, not realizing that the doll is actually the dollmaker’s flesh-and-blood daughter in disguise.",11.3449,/iJjxE2VjjSKmfvBmQFRDFkZFTRL.jpg,1919-12-05,The Doll,False,7.376,85
False,/mOeCRuBOHPvDF0a7vU62gIOBk2E.jpg,"[9648, 27]",499930,sv,Svart cirkel,"The lives of two sisters change dramatically, since they were hypnotized by a mystical vinyl record from the 1970s.",11.3443,/tH5ifDu2gqF3kW8p7CGgcNT7NTW.jpg,2019-08-23,Black Circle,False,5.5,11
False,/zxL056OkVNcJ9PSIH4hyklm4Hat.jpg,"[9648, 14, 18]",672521,en,Mayday,"Ana is transported to a dreamlike and dangerous land where she joins an army of girls engaged in a never-ending war. Even though she finds strength in this exhilarating world, she realizes that she's not the killer they want her to be, and time is running out for her to get home.",11.3435,/dNyaHdnXM5ewq0zI0qsdjrpMJ0g.jpg,2021-10-01,Mayday,False,4.9,56
False,/vv4epIYGqDEEowQBfpw6W2eiA3n.jpg,[18],1037837,tl,Family Matters,"A story of a stroke-stricken father whose family members take turns in manning the caregiving department. As his condition worsens, his children and wife start to squabble among themselves as they try to adapt to the circumstances.",11.3411,/buoDDhZVCiYwdSJd8mO3w5I9lf.jpg,2022-12-25,Family Matters,False,10.0,1
False,/zgQQF04u3OgNBJqClRNby1FPz9s.jpg,"[10751, 35, 12, 16]",893723,en,PAW Patrol: The Mighty Movie,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",11.3385,/aTvePCU7exLepwg5hWySjwxojQK.jpg,2023-09-21,PAW Patrol: The Mighty Movie,False,7.02,524
