adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/vP7V2cb4xNovVxblCWTychWtBN3.jpg,"[99, 10402]",37659,en,When You're Strange,"The creative chemistry of four brilliant artists —drummer John Densmore, guitarist Robby Kreiger, keyboardist Ray Manzarek and singer Jim Morrison— made The Doors one of America's most iconic and influential rock bands. Using footage shot between their formation in 1965 and Morrison's death in 1971, it follows the band from the corridors of UCLA's film school, where Manzarek and Morrison met, to the stages of sold-out arenas.",3.6052,/yd5X8f1mt13ETAWLI7dp0MEEZLL.jpg,2010-04-09,When You're Strange,False,7.3,219
False,/4Nttep9FdxEOcFJbUCFQoOnmU8p.jpg,"[18, 10749]",1440185,eu,"Jone, batzuetan","Bilbao, August. Jone, 20 years old, lives with her father and younger sister Marta. Aita, Jone's father, had to quit his job due to the consequences of his Parkinson's disease. Meanwhile, Bilbao's Semana Grande festivities kick off, setting the stage for Jone's first experience of love. Throughout this summer, Jone will navigate the dichotomy between the sense of invincibility she shares with Olga, the girl she falls in love with, and the fear of being left alone due to her father's illnes",4.0002,/t51nh2TS76SXAPXDJN8r8qGdX8i.jpg,2025-09-12,"Jone, Sometimes",False,8.0,1
False,,[18],1405364,ms,Soloz: Game of Life,"The fierce competition between The Boss and the team from Singapore, Vengeance, which teaches Soloz and his teammates the value of friendship, sportsmanship and healthy competition that are the foundation of success.",3.9035,/czi2BDxE0WdPLznelNtD8T0uPMY.jpg,2025-01-23,Soloz: Game of Life,False,7.0,1
False,,[35],1419300,ru,Ёлки 12,"Continuation of the New Year franchise ""Yolki"".",3.5758,,2025-12-18,Six Degrees of Celebration 12,False,0.0,0
False,/xmSkUXvYFQyMnxTUJJtEVvpSShk.jpg,"[16, 10402, 12, 35]",1404404,ja,クレヨンしんちゃん 超華麗！灼熱のカスカベダンサーズ,"Shin-chan and his friends travel to India for a dance festival, but Bo-chan accidentally becomes possessed by an evil force from a mysterious backpack and turns into a powerful tyrant. Now, the Kasukabe Guard must work together to save Bo-chan and stop his rampage.",3.7439,/1TfdgQbZXuEswjqLYlsVvhHw0Py.jpg,2025-08-08,Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers,False,7.0,2
False,/k9Oe0KXL1qYnEddxr1WR4VkB8eW.jpg,"[18, 36]",1310830,it,Fuori,"Rome. The 1980s. After the magnum opus The Art of Joy she has been working on for a decade is rejected by the Italian publishing world, writer Goliarda Sapienza commits a desperate theft that costs her her reputation and social position. Incarcerated in Italy’s largest female prison, she finds herself living alongside thieves, junkies, sex workers and revolutionaries. After her release, she continues to meet with these women and over the course of a sweltering summer, a life-changing relationship flowers – a relationship that will reawaken her the desire to live and to write.",2.9385,/zFo7tZqQes1JASl1eDefZoG1AHV.jpg,2025-05-22,Fuori,False,6.636,59
False,,[],1437156,ja,映画ラストマン -FIRST LOVE-,,3.3668,/ojRoq6Xv9aWTFUcVg0mF83LXzqM.jpg,2025-12-24,Last Man -FIRST LOVE-,False,0.0,0
False,/83aahFsb3H80WesllQ0zyyCyJI9.jpg,"[18, 10751, 36]",1460669,en,Saffron Kingdom,"After her husband is abducted in Kashmir, a traumatised woman flees to the United States with her young son to rebuild their lives.",3.2359,/hb0Avz6z7BWKvolmjMwZxen3YjD.jpg,2025-12-05,Saffron Kingdom,False,0.0,0
False,/sIP7geiGLFKVnjPPr44nwY5Cqay.jpg,"[35, 14, 878, 27]",1358748,es,Ministerio de Asuntos Oníricos,The Ministry of Oneiric Affairs is a metaphysical place located somewhere in the multiverse. The peculiar officials who work there are in charge of writing down the dreams of all living beings since the dawn of the universe and space-time. No human has ever known of their existence... until Max accidentally lands in their offices.,2.7891,/k8zMzhSaCN9dPSdzBdWQyt1whyg.jpg,2025-09-03,Ministry of Oneiric Affairs,False,0.0,0
False,/cNRYvkHKoRw8AuZxf7XecRfSuvM.jpg,"[10749, 18, 35]",661568,fr,"Mektoub, My Love: Canto Due","Amin returns to Sète after studying in Paris, still dreaming of cinema. By chance, an American producer on vacation takes an interest in his project and wants his wife, Jess, to play the lead role. But fate, whimsical as ever, has its own rules.",4.0992,/uQXfFFcMFTSu84TslhfQjUiNw7u.jpg,2025-12-03,"Mektoub, My Love: Canto Due",False,0.0,0
False,/3IZPY1mCgAKJTCvGVJv9ufyUz2f.jpg,"[18, 36]",1257406,ru,Zwei Staatsanwälte,The film focuses on a young prosecutor who sets out to challenge a system during Stalin’s Great Terror in 1937 after discovering a letter from a prisoner that is a desperate plea for help.,2.9698,/dU46ROG7HoP7biPtntaMTjkGbU6.jpg,2025-10-03,Two Prosecutors,False,5.2,5
False,/oiiQVnnEY4M2pz6iZkq59ls9fP.jpg,[18],1269644,de,Amrum,"Amrum Island, Spring 1945. In the final days of the war, 12-year-old Nanning braves the treacherous sea to hunt seals, goes fishing at night, and works the nearby farm to help his mother feed the family. Despite the hardship, life on the beautiful, windswept island almost feels like paradise. But when peace finally comes, it reveals a deeper threat: the enemy is far closer than he imagined.",3.1585,/yrFHlsSa5bK2LrV0oN6xpdodyBI.jpg,2025-10-09,Amrum,False,7.591,11
False,/t1yddbfQdyGR8dqstTLxLiQXRXi.jpg,"[18, 36]",1292123,en,Mother,"The film follows seven consecutive days at a pivotal moment in Mother Teresa’s life, the period where she decides to leave the Loreto Entally convent in Calcutta and launch her own order.",3.4764,/AcDw2c0HlCMb8GHIDu11PC8x8Xv.jpg,2025-10-16,Mother,False,0.0,0
False,/esZA01FCIFm0nisXppVXs7MJdpv.jpg,[16],1497017,en,Adult Swim's The Elephant,"Three acts are overseen by different creators in a special so mysterious, none of them have any knowledge of what the others are creating.",3.0681,/3jgtxUnch35lvZvPlU8jliJXlsI.jpg,2025-12-19,Adult Swim's The Elephant,False,0.0,0
False,,[16],878246,hr,Skriveni talent,It will take a lot more than a lack of talent to stop an ambitious kitten’s dream of joining in the songs of Feline City.,2.7455,/iEaygsCcaGsfH0vH4t2cbzVAKYd.jpg,2014-02-02,Hidden Talent,False,0.0,0
False,/kAwQtb0SoUfh6LrL4AzmFqN9yPK.jpg,[12],1501453,ja,WIND BREAKER／ウィンドブレイカー,Feature film adaptation of the WIND BREAKER manga.,3.0755,/tpffHzrYP5pNiYSCp3fAItTKR9U.jpg,2025-12-05,WIND BREAKER／Uindo Bureikā,False,0.0,0
False,/ixLtyOC9R39102LBKmQBbiBexxf.jpg,[27],1555358,en,A Ghost Story for Christmas: The Room in the Tower,"For 15 years, Roger Winstanley has been haunted by an unsettling, recurring dream: an invitation to spend the night in the house of an acquaintance, where an unseen terror lurks and the figures who populate the dream seem to age in real time. Nightmare and waking life seem to finally collide when an invitation to the dreaded ""room in the tower” becomes all too real…",2.8916,/s0ajbGde3MImyywb3dl6Tpi4eVU.jpg,2025-12-24,A Ghost Story for Christmas: The Room in the Tower,False,0.0,0
False,/83aahFsb3H80WesllQ0zyyCyJI9.jpg,"[18, 10751, 36]",1460669,en,Saffron Kingdom,"After her husband is abducted in Kashmir, a traumatised woman flees to the United States with her young son to rebuild their lives.",3.2359,/hb0Avz6z7BWKvolmjMwZxen3YjD.jpg,2025-12-05,Saffron Kingdom,False,0.0,0
False,/h56vspzGBmlNMgtPWZdgWdR04yq.jpg,[18],766520,en,Rosemead,"In a race against time, an ailing woman discovers her teenage son's violent obsessions and must go to great lengths to protect him, and possibly others, in this portrait of a Chinese American family. Inspired by true events.",3.2227,/uVilyfKrB5ZkhXh7MMaIaevzueR.jpg,2025-12-05,Rosemead,False,0.0,0
False,/woos7rldBAKG99HmcbNZNpMjwNk.jpg,"[878, 10749, 35]",1209511,ta,லவ் இன்சூரன்ஸ் கம்பெனி,"In a tech-chained world, a hero seeks love’s unshackled truth. Through their fight, humanity’s heart may beat free once more.",3.2058,/1IIUWMKzNVvI6YJX8BKE6EJ9bVd.jpg,2025-12-18,Love Insurance Kompany,False,0.0,0
False,/AjubB3hV3VroFVuPNFPywft1BP5.jpg,[27],739291,es,Al morir la matinée,"In 1993, spectators at the last screening of a horror film at a downtown cinema fall one by one into the hands of a sadistic and ruthless killer.",3.1708,/6KCBYIII8SlUcTuvD6JSHwQSfQL.jpg,2020-09-03,The Last Matinee,False,6.118,106
False,/oiiQVnnEY4M2pz6iZkq59ls9fP.jpg,[18],1269644,de,Amrum,"Amrum Island, Spring 1945. In the final days of the war, 12-year-old Nanning braves the treacherous sea to hunt seals, goes fishing at night, and works the nearby farm to help his mother feed the family. Despite the hardship, life on the beautiful, windswept island almost feels like paradise. But when peace finally comes, it reveals a deeper threat: the enemy is far closer than he imagined.",3.1585,/yrFHlsSa5bK2LrV0oN6xpdodyBI.jpg,2025-10-09,Amrum,False,7.458,12
False,/zeMMVjOFwXPfRIW6HzaEr0UQlRY.jpg,"[27, 53]",1194963,ko,노이즈,"Ju-young is a young woman with a hearing impediment who decides to investigate her sister's inexplicable disappearance, last seen in her apartment. Feeling more and more cornered, Ju-young begins to hear strange sounds and sense an evil presence in the apartment.",3.1546,/uU3NXe7QqjJNxVpYPdz8dscFWlj.jpg,2025-06-25,Noise,False,5.982,28
False,/tx6k24kEGxc4sEqxb7KJCJCHbj7.jpg,"[35, 10402]",1306400,en,Merrily We Roll Along,"Franklin Shepard is a talented Broadway composer who abandons his theater career and all his friends in New York in order to produce films in Los Angeles. The story begins at the height of his Hollywood fame and moves backwards in time, showing snapshots of the most important moments in Frank’s life that shaped the man he is today. A live recording of the 2024 Tony Award-winning Broadway revival of Stephen Sondheim and George Furth's musical, filmed at the Hudson Theatre in New York City.",3.136,/8h3uNPMdQKr7ffwAjU0aURFqIK.jpg,2025-12-04,Merrily We Roll Along,False,0.0,0
False,/wGfuDcS3dJ1EFivBDWDQAQfsk0G.jpg,[35],11830,ja,タンポポ,"In this humorous paean to the joys of food, a pair of truck drivers happen onto a decrepit roadside shop selling ramen noodles. The widowed owner, Tampopo, begs them to help her turn her establishment into a paragon of the ""art of noodle-soup making"". Interspersed are satirical vignettes about the importance of food to different aspects of human life.",3.1336,/ArYdSuX3zY9fMsE4LqmBl7xJq5R.jpg,1985-11-23,Tampopo,False,7.821,402
False,/aBNrvQd9B6y3h2GbDfJHQdF6CPE.jpg,"[36, 18]",971968,fr,Maria,"A young, struggling actress lands her dream role in a film by an emerging Italian director, starring alongside an American superstar. What begins as her big breakthrough quickly turns into a living hell.",3.1133,/AtBV9COCzgKvmmyDFXTEAh79wYD.jpg,2024-06-19,Being Maria,False,6.4,57
False,/3NoOZppaNBXr9UUDZdzO3bQRPee.jpg,"[10749, 35]",1278983,en,Under the Stars,"A struggling romance novelist stuck in a passionless relationship goes to Italy seeking inspiration, and unexpectedly finds the girl of his dreams.",3.0915,/oJjCXVwPbNq2QeNdNvG2atZHj11.jpg,2025-11-09,Under the Stars,False,5.5,4
False,/1mHTEDRSZ9PersHOTKfYBRXZw89.jpg,"[28, 14]",945801,zh,刺杀小说家2,"Novelist Lu Kongwen fell into the trough of life and decided to destroy his novel ""God Killing"" with his own hands. In the novel world, the protagonist also embarked on a journey of resistance in order to resist the predetermined fate.",3.0868,/hvIALincAccO4TstIoIW5XK1vVI.jpg,2025-10-01,A Writer's Odyssey 2,False,6.5,2
False,/kAwQtb0SoUfh6LrL4AzmFqN9yPK.jpg,[12],1501453,ja,WIND BREAKER／ウィンドブレイカー,Feature film adaptation of the WIND BREAKER manga.,3.0755,/tpffHzrYP5pNiYSCp3fAItTKR9U.jpg,2025-12-05,WIND BREAKER／Uindo Bureikā,False,0.0,0
False,/rSRA1p4e3laAAJflzdgtqNlx27Y.jpg,"[28, 80, 53]",1049574,en,Darkness of Man,"Russell Hatch, an Interpol operative who takes on the role of father figure to Jayden, the son of an informant killed in a routine raid gone wrong. Years later, Hatch finds himself protecting Jayden and his grandfather from a group of merciless gangs in an all-out turf war, stopping at nothing to protect Jayden and fight anyone getting in his way.",3.0717,/mTYDsPX2n4kdMheBZnqe1tzcimH.jpg,2025-12-18,Darkness of Man,False,0.0,0
False,/esZA01FCIFm0nisXppVXs7MJdpv.jpg,[16],1497017,en,Adult Swim's The Elephant,"Three acts are overseen by different creators in a special so mysterious, none of them have any knowledge of what the others are creating.",3.0681,/3jgtxUnch35lvZvPlU8jliJXlsI.jpg,2025-12-19,Adult Swim's The Elephant,False,0.0,0
False,/uA0ckViu6Uqc2d3iCFWOZBqMgK9.jpg,"[18, 35, 10749]",1001010,fr,Hiver à Sokcho,"In the snowy seaside town of Sokcho, 25-year-old Soo-Ha works at a guesthouse. She drifts between her mother’s fish stall and her boyfriend until a French artist’s arrival stirs questions about her identity. As winter deepens, Soo-Ha and the artist form an unspoken connection through food and art.",3.0525,/tVF00d1iCOpEnPx73tUGzsh1uaV.jpg,2025-01-08,Winter in Sokcho,False,6.817,30
False,/3IZPY1mCgAKJTCvGVJv9ufyUz2f.jpg,"[18, 36]",1257406,ru,Zwei Staatsanwälte,The film focuses on a young prosecutor who sets out to challenge a system during Stalin’s Great Terror in 1937 after discovering a letter from a prisoner that is a desperate plea for help.,2.9698,/dU46ROG7HoP7biPtntaMTjkGbU6.jpg,2025-10-03,Two Prosecutors,False,5.2,5
False,/xB8IhyXVUG15GaZM9Q2RBfslLv2.jpg,"[878, 53]",1505267,en,The Correction Unit,A group of violent and misguided young offenders are experimented on using brutal AI technology at a sinister institute.,2.9628,/xoEmMi9xZA5R4BAbDjaqOSlvjXq.jpg,2025-12-05,The Correction Unit,False,0.0,0
False,/IuLHpigKr5fzjNddeJmolJqjxW.jpg,"[35, 10749, 18]",1339952,hi,किस किस को प्यार करूँ 2,"Kapil plays a man who truly loves one woman and wants to build a life with her. But things spiral out of control when he mistakenly ends up marrying three other women, each from a different religion: Muslim, Christian, and Hindu.",2.9592,/vEXVtbK3ciEDk1aiRY1D3cNCKv4.jpg,2025-12-12,Kis Kisko Pyaar Karoon 2,False,0.0,0
False,/91yMEHiOfzMv0Lq7uV9MPKTpTJC.jpg,"[18, 36]",1291202,it,Duse,"In the years between WWI and the rise of Fascism, legendary thespian Eleonora Duse shocks everyone by getting back onstage at over 60 years of age. Struggling with the brutality of historical events unfolding and clinging to the possibility of utopia, she makes her art a revolutionary act, even at the cost of sacrificing health and affection—facing her final journey aware she could give up life itself, but not her own true nature.",2.955,/o9s7QiKnukMULQo12u7j9SnjjYb.jpg,2025-09-11,Duse,False,7.1,26
False,/k9Oe0KXL1qYnEddxr1WR4VkB8eW.jpg,"[18, 36]",1310830,it,Fuori,"Rome. The 1980s. After the magnum opus The Art of Joy she has been working on for a decade is rejected by the Italian publishing world, writer Goliarda Sapienza commits a desperate theft that costs her her reputation and social position. Incarcerated in Italy’s largest female prison, she finds herself living alongside thieves, junkies, sex workers and revolutionaries. After her release, she continues to meet with these women and over the course of a sweltering summer, a life-changing relationship flowers – a relationship that will reawaken her the desire to live and to write.",2.9385,/zFo7tZqQes1JASl1eDefZoG1AHV.jpg,2025-05-22,Fuori,False,6.636,59
False,/woos7rldBAKG99HmcbNZNpMjwNk.jpg,"[878, 10749, 35]",1209511,ta,லவ் இன்சூரன்ஸ் கம்பெனி,"In a tech-chained world, a hero seeks love’s unshackled truth. Through their fight, humanity’s heart may beat free once more.",3.2058,/1IIUWMKzNVvI6YJX8BKE6EJ9bVd.jpg,2025-12-18,Love Insurance Kompany,False,0.0,0
False,/zeMMVjOFwXPfRIW6HzaEr0UQlRY.jpg,"[27, 53]",1194963,ko,노이즈,"Ju-young is a young woman with a hearing impediment who decides to investigate her sister's inexplicable disappearance, last seen in her apartment. Feeling more and more cornered, Ju-young begins to hear strange sounds and sense an evil presence in the apartment.",3.1546,/uU3NXe7QqjJNxVpYPdz8dscFWlj.jpg,2025-06-25,Noise,False,5.982,28
