id,logo_path,name,origin_country,movie_id
9,/nda3dTUYdDrJ6rZqBpYvY865aDv.png,Gaumont,FR,101
66743,,Les Films du Dauphin,FR,101
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,105
56,/cEaxANEisCqeEoRvODv2dO1I0iI.png,Amblin Entertainment,US,105
21920,,The Steve Tisch Company,US,100
13419,,SKA Films,GB,100
20076,/ed9JyPNLqNOyJBJlDuv138sm1ES.png,Handmade Films,GB,100
25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US,106
840,,Lawrence Gordon Productions,US,106
1885,/xlvoOZr4s1PygosrwZyolIFe5xs.png,Silver Pictures,US,106
1302,/zC3b70ixHh89qJIikLQPEvLqbPM.png,Davis Entertainment,US,106
5263,,Amercent Films,,106
5264,,American Entertainment Partners L.P.,,106
12372,/lcQScIQXHQXuLMLFQt0loJl5gWJ.png,UFA,DE,19
6274,/ngZoa368SAnERTz3IBvgTT4eWeB.png,MK2 Films,FR,110
591,/q5I5RDwMEiqoNmfaJgd2LraEOJY.png,France 3 Cinéma,FR,110
22587,,CAB Productions,CH,110
38,/oZyTaSTMP9LMB6BTzPDv3q4oyMj.png,Studio Filmowe Tor,PL,110
1,/tlVSws0RvvtPBwViUyOFAO0vcQS.png,Lucasfilm Ltd.,US,335977
176675,,Rob Diamond Films,US,770156
176674,/60DG5vScQorCVJPUp2EowKWFatC.png,Future Movie Productions,US,770156
1088,/9WOE5AQUXbOtLU6GTwfjS8OMF0v.png,Alcon Entertainment,US,335984
5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US,335984
1645,/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png,Scott Free Productions,GB,335984
57043,,Bud Yorkin Productions,US,335984
79529,/gVN3k8emmKy4iV4KREWcCtxusZK.png,Torridon Films,US,335984
101829,/8IOjCvgjq0zTrtP91cWD3kL2jMK.png,16:14 Entertainment,US,335984
13419,,SKA Films,GB,107
3287,/bz6GbCQQXGNE56LTW9dwgksW0Iw.png,Screen Gems,US,107
139,,LJ Film,KR,113
11554,,Korea Pictures,KR,113
685,,Cineclick Asia,KR,113
11555,,Cinesoul,,113
11556,,Mirae Asset Capital,,113
11557,,Muhan Investment,,113
140,/ooz5b0ov3PLfBoOJyMmdoffVuHs.png,Pandora Film,DE,113
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,950387
923,/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png,Legendary Pictures,US,950387
110691,/ka6J6Ug9bLkq1QfPpuqrqoJSdIH.png,Mojang Studios,SE,950387
829,/iJo9zP5QCKyBsmKSOcvXd6UDNih.png,Vertigo Entertainment,US,950387
159602,/e3KodIPxOSC6xpzgIBISB4COQcu.png,On the Roam,US,950387
216687,/kKVYqekveOvLK1IgqdJojLjQvtu.png,Domain Entertainment,US,950387
4,/jay6WcMgagAklUt7i9Euwj1pzTF.png,Paramount Pictures,US,117
4700,/A32wmjrs9Psf4zw0uaixF0GXfxq.png,Linson Entertainment,US,117
1382,/8b5XGJ8YhZoEo9LgFP8KRQWHjYL.png,PolyGram Filmed Entertainment,US,115
10163,/16KWBMmfPX0aJzDExDrPxSLj0Pg.png,Working Title Films,GB,115
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,111
56976,,Martin Bregman Productions,US,111
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,118
79,/at4uYdwAAgNRKhZuuFX8ShKSybw.png,Village Roadshow Pictures,US,118
80,/i6B0AIrUESLt5Fm6MOPXmuPhsvA.png,The Zanuck Company,US,118
81,/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png,Plan B Entertainment,US,118
55512,,Theobald Film Productions,GB,118
1429,/n1GvY0KLgk3gcEPO07L7nXncB3i.png,Italian International Film,IT,73835
177095,/nfwWCvMNaK687bjyM7un8p7ilz0.png,SP Media Group,US,1433719
12,/2ycs64eqV5rqKYHyQK0GVoKGvfX.png,New Line Cinema,US,120
11,/6FAuASQHybRkZUk08p9PzSs9ezM.png,WingNut Films,NZ,120
5237,/mlnr7vsBHvLye8oEb5A76C0t8x9.png,The Saul Zaentz Company,US,120
12,/2ycs64eqV5rqKYHyQK0GVoKGvfX.png,New Line Cinema,US,122
11,/6FAuASQHybRkZUk08p9PzSs9ezM.png,WingNut Films,NZ,122
